5 51
1 160
1 0
2 7
3 30
4 16
5 9
6 21
7 15
8 19
9 23
10 11
11 5
12 19
13 29
14 23
15 21
16 10
17 15
18 3
19 41
20 9
21 28
22 8
23 8
24 16
25 10
26 28
27 7
28 15
29 14
30 6
31 19
32 11
33 12
34 23
35 26
36 17
37 6
38 9
39 15
40 14
41 7
42 27
43 13
44 11
45 16
46 10
47 5
48 25
49 17
50 18
51 10
10 39 7.0
10 40 19.0
10 41 54.0
10 42 45.0
10 43 39.0
10 44 56.0
10 45 28.0
10 46 26.0
10 47 21.0
10 48 27.0
10 49 35.0
10 50 6.0
10 51 6.0
11 1 28.0
11 2 34.0
11 3 28.0
11 4 43.0
11 5 31.0
11 6 14.0
11 7 40.0
11 8 54.0
11 9 46.0
11 10 12.0
11 11 0.0
11 12 22.0
11 13 23.0
11 14 46.0
11 15 44.0
11 16 16.0
11 17 20.0
11 18 24.0
11 19 36.0
11 20 39.0
11 21 37.0
11 22 24.0
11 23 37.0
11 24 50.0
11 25 53.0
11 26 47.0
11 27 53.0
11 28 34.0
11 29 47.0
11 30 28.0
11 31 9.0
11 32 50.0
11 33 28.0
11 34 12.0
11 35 16.0
11 36 43.0
11 37 49.0
11 38 19.0
11 39 15.0
11 40 10.0
11 41 48.0
11 42 41.0
11 43 32.0
11 44 63.0
11 45 22.0
11 46 16.0
11 47 26.0
11 48 28.0
11 49 43.0
11 50 8.0
11 51 17.0
12 1 12.0
12 2 12.0
12 3 11.0
12 4 25.0
12 5 27.0
12 6 11.0
12 7 22.0
12 8 33.0
12 9 24.0
12 10 13.0
12 11 22.0
12 12 0.0
12 13 14.0
12 14 40.0
12 15 30.0
12 16 26.0
12 17 10.0
12 18 23.0
12 19 26.0
12 20 40.0
12 21 23.0
12 22 20.0
12 23 16.0
12 24 31.0
12 25 36.0
12 26 35.0
12 27 31.0
12 28 14.0
12 29 26.0
12 30 17.0
12 31 21.0
12 32 28.0
12 33 6.0
12 34 31.0
12 35 21.0
12 36 30.0
12 37 35.0
12 38 21.0
12 39 7.0
12 40 31.0
12 41 51.0
12 42 40.0
12 43 37.0
12 44 44.0
12 45 29.0
12 46 31.0
12 47 10.0
12 48 19.0
12 49 22.0
12 50 14.0
12 51 15.0
13 1 8.0
13 2 21.0
13 3 25.0
13 4 38.0
13 5 13.0
13 6 9.0
13 7 18.0
13 8 34.0
13 9 30.0
13 10 21.0
13 11 23.0
13 12 14.0
13 13 0.0
13 14 27.0
13 15 21.0
13 16 17.0
13 17 23.0
13 18 10.0
13 19 14.0
13 20 26.0
13 21 37.0
13 22 33.0
13 23 27.0
13 24 29.0
13 25 30.0
13 26 25.0
13 27 36.0
13 28 16.0
13 29 37.0
13 30 31.0
13 31 27.0
13 32 37.0
13 33 16.0
13 34 27.0
13 35 30.0
13 36 44.0
13 37 49.0
13 38 10.0
13 39 14.0
13 40 33.0
13 41 37.0
13 42 26.0
13 43 24.0
13 44 41.0
13 45 17.0
13 46 23.0
13 47 7.0
13 48 6.0
13 49 24.0
13 50 17.0
13 51 25.0
14 1 29.0
14 2 42.0
14 3 50.0
14 4 61.0
14 5 15.0
14 6 35.0
14 7 27.0
14 8 40.0
14 9 45.0
14 10 48.0
14 11 46.0
14 12 40.0
14 13 27.0
14 14 0.0
14 15 18.0
14 16 32.0
14 17 50.0
14 18 22.0
14 19 14.0
14 20 14.0
14 21 62.0
14 22 59.0
14 23 49.0
14 24 34.0
14 25 27.0
14 26 13.0
14 27 48.0
14 28 34.0
14 29 57.0
14 30 58.0
14 31 53.0
14 32 54.0
14 33 39.0
14 34 44.0
14 35 57.0
14 36 69.0
14 37 73.0
14 38 27.0
14 39 41.0
14 40 55.0
14 41 19.0
14 42 9.0
14 43 22.0
14 44 39.0
14 45 27.0
14 46 37.0
14 47 30.0
14 48 21.0
14 49 36.0
14 50 43.0
14 51 52.0
15 1 18.0
15 2 27.0
15 3 38.0
15 4 46.0
15 5 18.0
15 6 30.0
15 7 10.0
15 8 22.0
15 9 28.0
15 10 41.0
15 11 44.0
15 12 30.0
15 13 21.0
15 14 18.0
15 15 0.0
15 16 35.0
15 17 40.0
15 18 24.0
15 19 10.0
15 20 29.0
15 21 48.0
15 22 50.0
15 23 34.0
15 24 16.0
15 25 11.0
15 26 6.0
15 27 30.0
15 28 19.0
15 29 40.0
15 30 46.0
15 31 48.0
15 32 37.0
15 33 26.0
15 34 47.0
15 35 50.0
15 36 54.0
15 37 58.0
15 38 28.0
15 39 34.0
15 40 54.0
15 41 37.0
15 42 25.0
15 43 33.0
15 44 23.0
15 45 32.0
15 46 42.0
15 47 20.0
15 48 16.0
15 49 18.0
15 50 39.0
15 51 44.0
16 1 25.0
16 2 36.0
16 3 35.0
16 4 51.0
16 5 19.0
16 6 15.0
16 7 34.0
16 8 51.0
16 9 46.0
16 10 23.0
16 11 16.0
16 12 26.0
16 13 17.0
16 14 32.0
16 15 35.0
16 16 0.0
16 17 30.0
16 18 11.0
16 19 25.0
16 20 23.0
16 21 47.0
16 22 37.0
16 23 41.0
16 24 46.0
16 25 46.0
16 26 36.0
16 27 53.0
16 28 33.0
16 29 51.0
16 30 39.0
16 31 25.0
16 32 53.0
16 33 30.0
16 34 12.0
16 35 30.0
16 36 54.0
16 37 59.0
16 38 7.0
16 39 21.0
16 40 23.0
16 41 33.0
16 42 26.0
16 43 16.0
16 44 57.0
16 45 6.0
16 46 7.0
16 47 23.0
16 48 19.0
16 49 41.0
16 50 17.0
16 51 29.0
17 1 22.0
17 2 19.0
17 3 9.0
17 4 23.0
17 5 35.0
17 6 16.0
17 7 32.0
17 8 41.0
17 9 30.0
17 10 8.0
17 11 20.0
17 12 10.0
17 13 23.0
17 14 50.0
17 15 40.0
17 16 30.0
17 17 0.0
17 18 31.0
17 19 36.0
17 20 48.0
17 21 18.0
17 22 10.0
17 23 19.0
17 24 39.0
17 25 45.0
17 26 45.0
17 27 37.0
17 28 23.0
17 29 28.0
17 30 9.0
17 31 15.0
17 32 32.0
17 33 15.0
17 34 32.0
17 35 12.0
17 36 24.0
17 37 30.0
17 38 28.0
17 39 9.0
17 40 27.0
17 41 59.0
17 42 48.0
17 43 44.0
17 44 52.0
17 45 34.0
17 46 34.0
17 47 20.0
17 48 28.0
17 49 30.0
17 50 14.0
17 51 6.0
18 1 17.0
18 2 31.0
18 3 34.0
18 4 48.0
18 5 8.0
18 6 15.0
18 7 25.0
18 8 41.0
18 9 39.0
18 10 27.0
18 11 24.0
18 12 23.0
18 13 10.0
18 14 22.0
18 15 24.0
18 16 11.0
18 17 31.0
18 18 0.0
18 19 14.0
18 20 17.0
18 21 46.0
18 22 40.0
18 23 37.0
18 24 36.0
18 25 35.0
18 26 25.0
18 27 45.0
18 28 25.0
18 29 47.0
18 30 40.0
18 31 31.0
18 32 47.0
18 33 25.0
18 34 23.0
18 35 35.0
18 36 53.0
18 37 58.0
18 38 5.0
18 39 22.0
18 40 33.0
18 41 28.0
18 42 18.0
18 43 14.0
18 44 47.0
18 45 9.0
18 46 18.0
18 47 17.0
18 48 9.0
18 49 32.0
18 50 22.0
18 51 32.0
19 1 15.0
19 2 28.0
19 3 36.0
19 4 47.0
19 5 8.0
19 6 23.0
19 7 15.0
19 8 30.0
19 9 32.0
19 10 35.0
19 11 36.0
19 12 26.0
19 13 14.0
19 14 14.0
19 15 10.0
19 16 25.0
19 17 36.0
19 18 14.0
19 19 0.0
19 20 20.0
19 21 47.0
19 22 46.0
19 23 35.0
19 24 24.0
19 25 21.0
19 26 11.0
19 27 36.0
19 28 20.0
19 29 43.0
19 30 44.0
19 31 41.0
19 32 41.0
19 33 25.0
19 34 37.0
19 35 44.0
19 36 54.0
19 37 58.0
19 38 19.0
19 39 28.0
19 40 46.0
19 41 30.0
19 42 17.0
19 43 23.0
19 44 33.0
19 45 22.0
19 46 32.0
19 47 16.0
19 48 8.0
19 49 23.0
19 50 31.0
19 51 39.0
20 1 32.0
20 2 46.0
20 3 51.0
20 4 64.0
20 5 15.0
20 6 32.0
20 7 35.0
20 8 50.0
20 9 52.0
20 10 44.0
20 11 39.0
20 12 40.0
20 13 26.0
20 14 14.0
20 15 29.0
20 16 23.0
20 17 48.0
20 18 17.0
20 19 20.0
20 20 0.0
20 21 63.0
20 22 57.0
20 23 53.0
20 24 44.0
20 25 39.0
20 26 26.0
20 27 57.0
20 28 39.0
20 29 62.0
20 30 57.0
20 31 47.0
20 32 61.0
20 33 41.0
20 34 33.0
20 35 52.0
20 36 70.0
20 37 75.0
20 38 21.0
20 39 39.0
20 40 46.0
20 41 11.0
20 42 5.0
20 43 9.0
20 44 52.0
20 45 17.0
20 46 26.0
20 47 32.0
20 48 22.0
20 49 44.0
20 50 38.0
20 51 49.0
21 1 32.0
21 2 21.0
21 3 12.0
21 4 8.0
21 5 49.0
21 6 33.0
21 7 38.0
21 8 40.0
21 9 26.0
21 10 25.0
21 11 37.0
21 12 23.0
21 13 37.0
21 14 62.0
21 15 48.0
21 16 47.0
21 17 18.0
21 18 46.0
21 19 47.0
21 20 63.0
21 21 0.0
21 22 17.0
21 23 15.0
21 24 41.0
21 25 49.0
21 26 54.0
21 27 32.0
21 28 29.0
21 29 17.0
21 30 10.0
21 31 31.0
21 32 23.0
21 33 22.0
21 34 49.0
21 35 25.0
21 36 7.0
21 37 13.0
21 38 44.0
21 39 26.0
21 40 43.0
21 41 74.0
21 42 62.0
21 43 60.0
21 44 52.0
21 45 51.0
21 46 51.0
21 47 31.0
21 48 41.0
21 49 32.0
21 50 31.0
21 51 21.0
22 1 32.0
22 2 27.0
22 3 15.0
22 4 24.0
22 5 45.0
22 6 25.0
22 7 41.0
22 8 50.0
22 9 37.0
22 10 13.0
22 11 24.0
22 12 20.0
22 13 33.0
22 14 59.0
22 15 50.0
22 16 37.0
22 17 10.0
22 18 40.0
22 19 46.0
22 20 57.0
22 21 17.0
22 22 0.0
22 23 25.0
22 24 48.0
22 25 55.0
22 26 55.0
22 27 44.0
22 28 33.0
22 29 31.0
22 30 7.0
22 31 16.0
22 32 37.0
22 33 24.0
22 34 36.0
22 35 9.0
22 36 21.0
22 37 27.0
22 38 36.0
22 39 18.0
22 40 27.0
22 41 67.0
22 42 58.0
22 43 52.0
22 44 61.0
22 45 42.0
22 46 39.0
22 47 30.0
22 48 38.0
22 49 39.0
22 50 20.0
22 51 8.0
23 1 21.0
23 2 7.0
23 3 11.0
23 4 12.0
23 5 38.0
23 6 27.0
23 7 23.0
23 8 26.0
23 9 12.0
23 10 26.0
23 11 37.0
23 12 16.0
23 13 27.0
23 14 49.0
23 15 34.0
23 16 41.0
23 17 19.0
23 18 37.0
23 19 35.0
23 20 53.0
23 21 15.0
23 22 25.0
23 23 0.0
23 24 26.0
23 25 34.0
23 26 40.0
23 27 19.0
23 28 15.0
23 29 10.0
23 30 18.0
23 31 34.0
23 32 13.0
23 33 12.0
23 34 47.0
23 35 31.0
23 36 21.0
23 37 24.0
23 38 36.0
23 39 22.0
23 40 45.0
23 41 63.0
23 42 51.0
23 43 51.0
23 44 38.0
23 45 44.0
23 46 47.0
23 47 21.0
23 48 30.0
23 49 17.0
23 50 30.0
23 51 24.0
24 1 22.0
24 2 22.0
24 3 34.0
24 4 37.0
24 5 31.0
24 6 36.0
24 7 11.0
24 8 6.0
24 9 16.0
24 10 43.0
24 11 50.0
24 12 31.0
24 13 29.0
24 14 34.0
24 15 16.0
24 16 46.0
24 17 39.0
24 18 36.0
24 19 24.0
24 20 44.0
24 21 41.0
24 22 48.0
24 23 26.0
24 24 0.0
24 25 9.0
24 26 21.0
24 27 16.0
24 28 17.0
24 29 29.0
24 30 43.0
24 31 52.0
24 32 24.0
24 33 25.0
24 34 56.0
24 35 51.0
24 36 46.0
24 37 49.0
24 38 38.0
24 39 36.0
24 40 60.0
24 41 52.0
24 42 40.0
24 43 47.0
24 44 13.0
24 45 44.0
24 46 52.0
24 47 24.0
24 48 27.0
24 49 9.0
24 50 43.0
24 51 45.0
25 1 25.0
25 2 29.0
25 3 41.0
25 4 46.0
25 5 29.0
25 6 39.0
25 7 14.0
25 8 14.0
25 9 25.0
25 10 48.0
25 11 53.0
25 12 36.0
25 13 30.0
25 14 27.0
25 15 11.0
25 16 46.0
25 17 45.0
25 18 35.0
25 19 21.0
25 20 39.0
25 21 49.0
25 22 55.0
25 23 34.0
25 24 9.0
25 25 0.0
25 26 14.0
25 27 25.0
25 28 22.0
25 29 38.0
25 30 50.0
25 31 56.0
25 32 34.0
25 33 31.0
25 34 57.0
25 35 56.0
25 36 55.0
25 37 58.0
25 38 38.0
25 39 41.0
25 40 63.0
25 41 46.0
25 42 35.0
25 43 44.0
25 44 12.0
25 45 43.0
25 46 52.0
25 47 27.0
25 48 26.0
25 49 17.0
25 50 47.0
25 51 50.0
26 1 23.0
26 2 33.0
26 3 43.0
26 4 52.0
26 5 18.0
26 6 34.0
26 7 17.0
26 8 27.0
26 9 34.0
26 10 45.0
26 11 47.0
26 12 35.0
26 13 25.0
26 14 13.0
26 15 6.0
26 16 36.0
26 17 45.0
26 18 25.0
26 19 11.0
26 20 26.0
26 21 54.0
26 22 55.0
26 23 40.0
26 24 21.0
26 25 14.0
26 26 0.0
26 27 36.0
26 28 25.0
26 29 46.0
26 30 52.0
26 31 52.0
26 32 43.0
26 33 32.0
26 34 48.0
26 35 54.0
26 36 60.0
26 37 64.0
26 38 30.0
26 39 38.0
26 40 57.0
26 41 32.0
26 42 21.0
26 43 31.0
26 44 26.0
26 45 33.0
26 46 43.0
26 47 25.0
26 48 19.0
26 49 25.0
26 50 42.0
26 51 49.0
27 1 28.0
27 2 19.0
27 3 29.0
27 4 25.0
27 5 43.0
27 6 40.0
27 7 22.0
27 8 11.0
27 9 7.0
27 10 43.0
27 11 53.0
27 12 31.0
27 13 36.0
27 14 48.0
27 15 30.0
27 16 53.0
27 17 37.0
27 18 45.0
27 19 36.0
27 20 57.0
27 21 32.0
27 22 44.0
27 23 19.0
27 24 16.0
27 25 25.0
27 26 36.0
27 27 0.0
27 28 20.0
27 29 16.0
27 30 37.0
27 31 51.0
27 32 10.0
27 33 25.0
27 34 61.0
27 35 49.0
27 36 35.0
27 37 36.0
27 38 46.0
27 39 38.0
27 40 62.0
27 41 66.0
27 42 54.0
27 43 58.0
27 44 22.0
27 45 53.0
27 46 59.0
27 47 29.0
27 48 36.0
27 49 13.0
27 50 45.0
27 51 42.0
28 1 8.0
28 2 8.0
28 3 19.0
28 4 27.0
28 5 24.0
28 6 21.0
28 7 9.0
28 8 20.0
28 9 14.0
28 10 27.0
28 11 34.0
28 12 14.0
28 13 16.0
28 14 34.0
28 15 19.0
28 16 33.0
28 17 23.0
28 18 25.0
28 19 20.0
28 20 39.0
28 21 29.0
28 22 33.0
28 23 15.0
28 24 17.0
28 25 22.0
28 26 25.0
28 27 20.0
28 28 0.0
28 29 23.0
28 30 28.0
28 31 35.0
28 32 22.0
28 33 8.0
28 34 41.0
28 35 34.0
28 36 35.0
28 37 39.0
28 38 26.0
28 39 20.0
28 40 44.0
28 41 49.0
28 42 37.0
28 43 39.0
28 44 30.0
28 45 33.0
28 46 39.0
28 47 9.0
28 48 17.0
28 49 9.0
28 50 27.0
28 51 28.0
29 1 30.0
29 2 16.0
29 3 19.0
29 4 9.0
29 5 47.0
29 6 37.0
29 7 30.0
29 8 26.0
29 9 13.0
29 10 35.0
29 11 47.0
29 12 26.0
29 13 37.0
29 14 57.0
29 15 40.0
29 16 51.0
29 17 28.0
29 18 47.0
29 19 43.0
29 20 62.0
29 21 17.0
29 22 31.0
29 23 10.0
29 24 29.0
29 25 38.0
29 26 46.0
29 27 16.0
29 28 23.0
29 29 0.0
29 30 24.0
29 31 43.0
29 32 6.0
29 33 22.0
29 34 57.0
29 35 38.0
29 36 19.0
29 37 20.0
29 38 46.0
29 39 32.0
29 40 54.0
29 41 72.0
29 42 60.0
29 43 61.0
29 44 38.0
29 45 54.0
29 46 57.0
29 47 30.0
29 48 39.0
29 49 22.0
29 50 39.0
29 51 33.0
30 1 29.0
30 2 21.0
30 3 9.0
30 4 17.0
30 5 44.0
30 6 25.0
30 7 37.0
30 8 44.0
30 9 30.0
30 10 16.0
30 11 28.0
30 12 17.0
30 13 31.0
30 14 58.0
30 15 46.0
30 16 39.0
30 17 9.0
30 18 40.0
30 19 44.0
30 20 57.0
30 21 10.0
30 22 7.0
30 23 18.0
30 24 43.0
30 25 50.0
30 26 52.0
30 27 37.0
30 28 28.0
30 29 24.0
30 30 0.0
30 31 21.0
30 32 30.0
30 33 20.0
30 34 40.0
30 35 15.0
30 36 16.0
30 37 22.0
30 38 37.0
30 39 18.0
30 40 33.0
30 41 68.0
30 42 57.0
30 43 53.0
30 44 55.0
30 45 43.0
30 46 42.0
30 47 28.0
30 48 37.0
30 49 34.0
30 50 22.0
30 51 11.0
31 1 31.0
31 2 33.0
31 3 24.0
31 4 37.0
31 5 38.0
31 6 18.0
31 7 42.0
31 8 55.0
31 9 44.0
31 10 8.0
31 11 9.0
31 12 21.0
31 13 27.0
31 14 53.0
31 15 48.0
31 16 25.0
31 17 15.0
31 18 31.0
31 19 41.0
31 20 47.0
31 21 31.0
31 22 16.0
31 23 34.0
31 24 52.0
31 25 56.0
31 26 52.0
31 27 51.0
31 28 35.0
31 29 43.0
31 30 21.0
31 31 0.0
31 32 47.0
31 33 28.0
31 34 21.0
31 35 7.0
31 36 36.0
31 37 42.0
31 38 26.0
31 39 15.0
31 40 12.0
31 41 57.0
31 42 49.0
31 43 41.0
31 44 65.0
31 45 30.0
31 46 25.0
31 47 29.0
31 48 33.0
31 49 43.0
31 50 10.0
31 51 10.0
32 1 30.0
32 2 17.0
32 3 23.0
32 4 16.0
32 5 46.0
32 6 39.0
32 7 27.0
32 8 21.0
32 9 9.0
32 10 39.0
32 11 50.0
32 12 28.0
32 13 37.0
32 14 54.0
32 15 37.0
32 16 53.0
32 17 32.0
32 18 47.0
32 19 41.0
32 20 61.0
32 21 23.0
32 22 37.0
32 23 13.0
32 24 24.0
32 25 34.0
32 26 43.0
32 27 10.0
32 28 22.0
32 29 6.0
32 30 30.0
32 31 47.0
32 32 0.0
32 33 23.0
32 34 60.0
32 35 43.0
32 36 26.0
32 37 26.0
32 38 47.0
32 39 35.0
32 40 58.0
32 41 71.0
32 42 59.0
32 43 61.0
32 44 32.0
32 45 54.0
32 46 59.0
32 47 30.0
32 48 39.0
32 49 18.0
32 50 42.0
32 51 37.0
33 1 10.0
33 2 6.0
33 3 11.0
33 4 23.0
33 5 27.0
33 6 16.0
33 7 17.0
33 8 27.0
33 9 17.0
33 10 19.0
33 11 28.0
33 12 6.0
33 13 16.0
33 14 39.0
33 15 26.0
33 16 30.0
33 17 15.0
33 18 25.0
33 19 25.0
33 20 41.0
33 21 22.0
33 22 24.0
33 23 12.0
33 24 25.0
33 25 31.0
33 26 32.0
33 27 25.0
33 28 8.0
33 29 22.0
33 30 20.0
33 31 28.0
33 32 23.0
33 33 0.0
33 34 37.0
33 35 26.0
33 36 29.0
33 37 34.0
33 38 25.0
33 39 13.0
33 40 37.0
33 41 52.0
33 42 40.0
33 43 40.0
33 44 38.0
33 45 32.0
33 46 36.0
33 47 9.0
33 48 19.0
33 49 16.0
33 50 21.0
33 51 20.0
34 1 34.0
34 2 43.0
34 3 39.0
34 4 54.0
34 5 31.0
34 6 21.0
34 7 45.0
34 8 60.0
34 9 54.0
34 10 24.0
34 11 12.0
34 12 31.0
34 13 27.0
34 14 44.0
