depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
328 14 9 27 69617 
329 15 1 30 69872 
330 16 1 37 70054 
331 6 14 11 70337 
332 12 1 26 70540 
333 3 16 22 70779 
334 12 10 31 70953 
335 13 8 47 71105 
336 1 7 40 71253 
337 19 0 45 71395 
338 18 12 43 71527 
339 4 18 44 71776 
340 0 15 42 71962 
-1
