depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
146 6 13 14 30386 
147 16 14 45 30544 
148 14 17 22 30675 
149 17 12 32 30972 
150 2 12 46 31237 
151 11 17 43 31416 
152 19 16 16 31696 
153 10 17 48 31923 
154 9 12 47 32157 
155 12 11 41 32391 
156 11 10 37 32611 
157 0 3 16 32861 
158 19 2 27 33044 
159 6 8 35 33288 
160 0 17 44 33424 
161 14 7 30 33612 
162 18 2 11 33747 
163 12 10 13 33892 
164 14 11 20 34106 
165 18 10 39 34359 
166 16 0 31 34506 
167 19 16 10 34670 
168 6 14 16 34824 
169 12 3 12 35100 
170 19 5 24 35267 
171 7 3 37 35540 
172 7 14 39 35691 
173 6 4 18 35986 
174 11 2 39 36230 
175 14 12 12 36462 
176 3 17 44 36620 
177 18 0 20 36849 
178 18 10 24 37095 
179 18 7 28 37357 
180 2 17 19 37649 
181 6 17 29 37778 
182 18 12 22 38008 
183 2 17 50 38183 
184 13 8 45 38441 
185 5 11 44 38704 
186 6 6 25 38994 
187 13 2 38 39219 
188 11 19 33 39359 
189 7 2 39 39526 
190 12 2 47 39657 
191 0 11 35 39896 
192 7 9 42 40087 
193 8 19 13 40269 
194 19 7 34 40404 
195 11 11 39 40661 
196 3 7 42 40812 
197 8 14 41 40934 
198 17 8 29 41141 
199 4 1 33 41413 
200 17 6 46 41627 
201 1 1 20 41859 
202 13 3 23 42052 
203 17 19 13 42342 
204 0 7 23 42622 
205 6 15 29 42759 
206 6 18 41 42934 
207 1 7 44 43116 
208 7 1 50 43406 
209 9 8 16 43572 
210 1 16 16 43844 
211 15 6 34 43998 
212 4 1 16 44202 
213 17 10 46 44441 
214 17 4 26 44577 
215 4 2 33 44705 
216 1 17 36 44920 
217 12 17 12 45162 
218 1 4 16 45289 
219 0 10 13 45573 
220 2 15 20 45753 
221 0 9 20 45992 
222 0 14 45 46172 
223 17 2 48 46439 
224 4 5 15 46592 
225 13 15 21 46832 
226 7 6 17 46957 
227 9 6 34 47238 
228 2 8 36 47442 
229 0 4 16 47684 
230 17 8 13 47814 
231 11 14 47 48095 
232 19 15 21 48224 
233 17 7 10 48434 
234 2 17 20 48607 
235 6 16 32 48727 
236 0 4 15 48977 
237 1 18 26 49234 
238 2 18 38 49477 
239 11 15 46 49693 
240 13 10 25 49884 
241 15 9 28 50017 
242 18 11 44 50209 
243 2 8 15 50409 
244 5 18 20 50535 
245 14 8 49 50771 
246 14 16 50 50972 
247 5 12 38 51232 
248 12 10 12 51436 
249 13 4 37 51561 
250 19 2 24 51859 
251 10 11 45 52060 
252 15 8 22 52183 
253 8 5 32 52433 
254 14 6 43 52692 
255 16 10 21 52813 
256 0 18 14 53093 
257 12 8 36 53392 
258 5 0 28 53606 
259 18 17 32 53829 
260 0 13 47 54021 
261 15 6 27 54157 
262 16 1 45 54417 
263 5 12 24 54691 
264 15 0 50 54923 
265 7 10 36 55206 
266 9 8 32 55401 
267 13 17 36 55582 
268 7 5 46 55851 
269 10 18 11 56087 
270 2 15 30 56234 
271 4 7 23 56532 
272 18 7 46 56739 
273 0 6 23 56998 
274 9 2 31 57165 
275 4 15 11 57338 
276 0 12 14 57596 
277 2 6 27 57758 
278 18 13 24 57955 
279 8 6 10 58188 
280 6 11 16 58331 
281 12 3 12 58455 
282 3 1 46 58584 
283 18 12 34 58774 
284 19 2 12 58942 
285 7 9 38 59176 
286 6 7 10 59353 
287 18 14 25 59616 
288 18 16 46 59781 
289 10 5 33 60030 
290 2 3 43 60330 
291 5 16 50 60575 
292 9 19 14 60806 
293 12 0 20 61104 
294 5 2 41 61294 
295 5 14 19 61461 
296 18 18 39 61732 
297 11 5 17 61922 
298 10 11 28 62171 
299 15 14 10 62309 
300 12 19 12 62567 
301 2 14 21 62713 
302 15 4 27 63009 
303 3 15 26 63260 
304 2 5 18 63388 
305 11 3 22 63513 
306 3 5 42 63685 
307 12 11 28 63947 
308 2 14 34 64099 
309 17 12 36 64315 
310 9 3 10 64592 
311 2 5 38 64721 
312 14 5 11 65003 
313 14 6 36 65213 
314 14 9 15 65465 
315 9 6 49 65640 
316 10 4 30 65763 
317 12 10 12 65992 
318 5 9 43 66277 
319 14 19 26 66533 
320 7 10 16 66802 
321 15 15 24 66968 
322 5 11 18 67140 
323 10 16 45 67341 
324 16 13 44 67472 
325 8 3 20 67641 
326 17 15 11 67843 
327 16 9 39 68075 
328 15 8 29 68211 
329 2 17 14 68361 
330 6 7 35 68602 
331 19 12 39 68851 
332 12 13 32 69093 
333 12 11 32 69215 
334 4 2 12 69421 
335 4 0 32 69599 
336 8 15 30 69749 
337 5 9 50 69964 
338 12 9 43 70264 
339 11 3 27 70407 
340 14 0 28 70672 
341 14 11 10 70856 
342 2 16 47 71110 
343 14 8 15 71376 
344 9 12 42 71575 
345 2 6 36 71747 
-1
