depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
86 0 13 40 18057 
87 9 4 11 18214 
88 19 1 22 18484 
89 0 4 18 18774 
90 10 3 18 19053 
91 0 18 12 19281 
92 10 16 39 19532 
93 18 7 18 19695 
94 7 14 23 19926 
95 3 18 39 20067 
96 16 14 31 20342 
97 3 1 23 20562 
98 17 15 25 20808 
99 16 5 20 20988 
100 10 1 12 21242 
101 1 4 50 21438 
102 16 3 31 21736 
103 1 10 10 21952 
104 0 1 50 22076 
105 7 17 26 22224 
106 4 9 18 22373 
107 5 18 48 22613 
108 7 6 16 22756 
109 19 14 32 23054 
110 2 8 41 23198 
111 19 2 13 23392 
112 10 1 40 23556 
113 0 14 14 23816 
114 10 7 23 24065 
115 8 19 44 24248 
116 5 7 12 24404 
117 12 16 38 24702 
118 5 6 48 24957 
119 5 8 36 25095 
120 8 15 12 25269 
121 14 18 21 25462 
122 9 18 16 25697 
123 18 3 48 25883 
124 3 7 40 26051 
125 16 14 27 26290 
126 3 9 40 26509 
127 11 15 46 26642 
128 4 10 14 26827 
129 9 7 41 26995 
130 10 9 12 27211 
131 6 1 18 27438 
132 9 6 13 27572 
133 16 12 20 27737 
134 14 4 48 27955 
135 13 2 11 28157 
136 10 19 47 28322 
137 14 3 12 28520 
138 12 6 48 28753 
139 16 3 42 29012 
140 5 17 19 29132 
141 14 6 39 29391 
142 14 19 29 29544 
143 8 19 18 29829 
144 11 18 47 30126 
145 8 4 28 30281 
146 17 13 34 30492 
147 12 0 11 30788 
148 1 12 25 30994 
149 16 1 34 31131 
150 17 15 19 31384 
151 7 9 30 31538 
152 19 1 34 31700 
153 7 0 18 31968 
154 13 11 36 32091 
155 6 3 28 32359 
156 17 18 42 32617 
157 1 15 37 32762 
158 9 4 35 33051 
159 1 12 24 33173 
160 10 19 14 33397 
161 7 6 14 33620 
162 5 11 23 33882 
163 15 2 19 34075 
164 7 12 41 34325 
165 13 9 47 34474 
166 6 9 28 34644 
167 16 11 17 34773 
168 7 6 35 34929 
169 12 17 46 35069 
170 5 6 33 35337 
171 1 0 48 35636 
172 1 13 19 35891 
173 13 15 22 36152 
174 14 7 49 36382 
175 4 12 22 36601 
176 15 18 31 36724 
177 14 19 28 37018 
178 13 12 18 37251 
179 6 17 25 37472 
180 7 14 31 37681 
181 3 9 16 37922 
182 3 9 12 38191 
183 11 6 30 38417 
184 9 4 50 38713 
185 14 19 28 38933 
186 8 0 38 39093 
187 13 5 45 39280 
188 15 14 47 39504 
189 0 12 49 39752 
190 9 8 32 39991 
191 2 9 48 40185 
192 6 4 46 40368 
193 10 0 48 40627 
194 7 10 47 40894 
195 18 12 11 41023 
196 7 18 19 41179 
197 13 14 48 41339 
198 5 11 43 41632 
199 10 1 41 41845 
200 2 5 14 42097 
201 12 0 39 42310 
202 10 11 42 42513 
203 17 9 24 42793 
204 11 1 14 42935 
205 1 12 40 43205 
206 7 19 24 43450 
207 6 6 26 43715 
208 13 12 18 43845 
209 3 10 50 44100 
210 0 19 30 44344 
211 14 2 25 44500 
212 1 16 32 44653 
213 16 15 14 44932 
214 15 8 38 45081 
215 18 16 42 45333 
216 10 12 44 45539 
217 19 6 18 45701 
218 2 5 50 45942 
219 6 6 21 46189 
220 19 15 44 46313 
221 14 9 47 46555 
222 4 5 25 46756 
223 2 7 20 46881 
224 2 9 10 47072 
225 16 16 23 47220 
226 0 18 39 47343 
227 0 5 28 47641 
228 13 5 15 47763 
229 4 15 38 48058 
230 7 2 17 48261 
231 14 15 20 48538 
232 16 17 23 48818 
233 15 4 45 49056 
234 1 9 36 49326 
235 11 16 30 49488 
236 0 2 14 49742 
237 0 18 34 49994 
238 8 12 26 50294 
239 18 0 10 50590 
240 5 9 24 50775 
241 6 2 32 50972 
242 10 11 14 51116 
243 9 9 38 51240 
244 4 15 25 51435 
245 16 16 25 51614 
246 6 2 22 51860 
247 3 10 33 52066 
248 1 12 20 52362 
249 19 14 12 52587 
250 2 19 13 52811 
251 6 5 18 52971 
252 1 8 49 53171 
253 15 11 19 53367 
254 18 9 10 53494 
255 0 17 19 53784 
256 11 7 21 54077 
257 17 4 44 54312 
258 18 14 35 54539 
259 0 0 24 54823 
260 10 16 24 55092 
261 16 13 35 55303 
262 15 9 10 55485 
263 1 13 12 55681 
264 12 13 22 55914 
265 16 0 17 56174 
266 10 7 21 56456 
267 12 2 33 56667 
268 16 11 26 56803 
269 14 16 40 57043 
270 14 1 23 57327 
271 18 7 12 57463 
272 8 12 46 57725 
273 12 2 42 57981 
274 14 3 13 58127 
275 11 7 45 58336 
276 19 14 34 58536 
277 14 6 11 58784 
278 3 14 44 59076 
279 19 13 48 59253 
280 6 16 37 59407 
281 17 2 48 59560 
282 5 6 45 59745 
283 0 16 34 59948 
284 14 13 43 60086 
285 17 17 35 60210 
286 10 15 18 60501 
287 12 16 20 60790 
288 15 18 31 60933 
289 16 12 29 61064 
290 0 6 48 61245 
291 15 7 29 61480 
292 6 19 47 61720 
293 8 12 24 62004 
294 18 1 39 62201 
295 18 4 30 62339 
296 7 5 33 62551 
297 12 8 40 62778 
298 2 18 41 62989 
299 4 1 41 63274 
300 10 9 44 63478 
301 2 2 46 63623 
302 7 11 38 63905 
303 11 14 41 64098 
304 5 6 12 64332 
305 12 15 36 64469 
306 0 12 32 64615 
307 3 14 19 64840 
308 19 18 19 65133 
309 15 1 49 65369 
310 15 6 30 65607 
311 1 12 42 65798 
312 2 5 32 65919 
313 14 19 49 66112 
314 18 0 42 66247 
315 4 15 35 66400 
316 5 15 25 66657 
317 15 12 42 66795 
318 16 17 28 67012 
319 19 11 43 67210 
320 10 17 18 67401 
321 10 13 11 67660 
322 3 4 44 67892 
323 8 10 10 68148 
324 7 11 33 68309 
325 2 15 12 68556 
326 3 1 38 68819 
327 9 16 20 69050 
328 16 11 14 69231 
329 18 13 29 69437 
330 1 5 42 69594 
331 14 9 29 69821 
332 15 15 50 69988 
333 8 14 27 70203 
334 3 5 10 70363 
335 3 17 26 70555 
336 5 2 28 70711 
337 11 0 12 70850 
338 1 17 34 71096 
339 9 6 31 71396 
340 18 7 35 71568 
341 2 0 43 71733 
342 5 18 48 71945 
-1
